"IntegrationTime","Points:0","Points:1","Points:2"
0,-0.20724,0.29502,1.9322
0.048187,-0.22244,0.25352,2.1221
0.08821,-0.22962,0.22221,2.2965
0.12423,-0.23278,0.19672,2.4675
0.22175,-0.23208,0.14374,2.9607
0.30623,-0.22661,0.11116,3.4556
0.3862,-0.22197,0.090495,3.9603
0.44864,-0.22064,0.079659,4.3653
0.5296,-0.22341,0.070848,4.89
0.61707,-0.23323,0.066607,5.4146
0.71934,-0.25477,0.066456,5.9496
0.82484,-0.28883,0.070288,6.3926
0.89659,-0.31689,0.074498,6.6147
0.98409,-0.3591,0.081424,6.836
1.0774,-0.41245,0.090342,7.0116
1.1852,-0.48572,0.10262,7.155
1.2316,-0.51827,0.10805,7.1978
1.2829,-0.5571,0.11451,7.237
1.3868,-0.64433,0.12896,7.2914
1.4961,-0.74326,0.14514,7.3182
1.6389,-0.88594,0.1679,7.3215
1.6973,-0.95403,0.17846,7.3142
1.7606,-1.0328,0.19043,7.3011
1.7941,-1.0778,0.19714,7.2913
1.8232,-1.118,0.20311,7.2807
1.9635,-1.3131,0.23138,7.2081
2.1152,-1.55,0.26362,7.0857
2.1807,-1.6667,0.27836,7.0135
2.2356,-1.7685,0.29029,6.9411
2.2725,-1.8397,0.29828,6.8861
2.2965,-1.8871,0.3035,6.8476
2.3231,-1.9399,0.30928,6.8021
2.3721,-2.0376,0.31986,6.711
2.4146,-2.1239,0.32888,6.6223
2.4641,-2.2239,0.33846,6.5079
2.6167,-2.5092,0.35827,6.1034
2.6617,-2.5958,0.36159,5.9552
2.7004,-2.6694,0.36325,5.8178
2.8364,-2.8912,0.35409,5.2943
2.9572,-3.0496,0.32127,4.749
3.0657,-3.1475,0.25911,4.2028
3.1669,-3.1934,0.15861,3.6656
3.2205,-3.1992,0.082915,3.3787
3.2637,-3.195,0.0073734,3.151
3.2875,-3.189,-0.039598,3.0275
3.2979,-3.1855,-0.061149,2.974
3.3928,-3.1381,-0.30211,2.5051
3.4847,-3.0527,-0.61688,2.0887
3.5776,-2.9132,-1.0171,1.7202
3.5871,-2.8934,-1.0644,1.6838
3.5975,-2.8705,-1.117,1.645
3.6754,-2.6591,-1.526,1.3891
3.6887,-2.611,-1.603,1.348
3.7607,-2.3035,-2.0117,1.1492
3.8288,-1.9098,-2.3847,0.98842
3.8522,-1.7424,-2.5073,0.93835
3.8772,-1.5467,-2.629,0.88866
3.8979,-1.3718,-2.7208,0.85019
3.9534,-0.8646,-2.9112,0.75911
4.0043,-0.34913,-3.0047,0.68761
4.017,-0.21297,-3.0141,0.67107
0,-0.54901,-0.11143,0.22896
0.070158,-0.46372,-0.28304,0.24697
0.14764,-0.31268,-0.41999,0.26877
0.24465,-0.079901,-0.49071,0.29956
0.34228,0.1462,-0.4454,0.335
0.43472,0.30553,-0.31768,0.37265
0.53402,0.3875,-0.13152,0.41867
0.60655,0.38549,0.0053448,0.45617
0.69075,0.32805,0.14137,0.50464
0.74197,0.27284,0.20283,0.53621
0.79706,0.20331,0.24887,0.57291
0.85232,0.12988,0.27396,0.61443
0.95273,0.0038972,0.27127,0.70503
1.0566,-0.094139,0.22134,0.82077
1.158,-0.14929,0.15149,0.95835
1.2501,-0.16775,0.086563,1.1101
1.3329,-0.16499,0.035837,1.2742
1.4051,-0.1529,-4.0071e-06,1.4475
1.4847,-0.13386,-0.029037,1.6752
1.5578,-0.11441,-0.047077,1.9267
1.6154,-0.099447,-0.056478,2.1585
1.7138,-0.07804,-0.064558,2.6072
1.8032,-0.062983,-0.067022,3.0908
1.8857,-0.052912,-0.067426,3.5965
1.9627,-0.04662,-0.067565,4.1022
2.0404,-0.042885,-0.068444,4.6175
2.1226,-0.041218,-0.070868,5.1428
2.2141,-0.041609,-0.075909,5.6786
2.3234,-0.044751,-0.085596,6.2143
2.438,-0.050627,-0.10022,6.6376
2.524,-0.056385,-0.11368,6.8648
2.6104,-0.063232,-0.12951,7.037
2.7009,-0.071729,-0.14907,7.1723
2.7935,-0.081903,-0.17248,7.2736
2.9004,-0.095915,-0.20482,7.357
3.0192,-0.1139,-0.2466,7.4166
3.1559,-0.13691,-0.30055,7.456
3.2942,-0.16281,-0.36197,7.477
3.4215,-0.1902,-0.4278,7.4862
3.5086,-0.21183,-0.48036,7.4882
3.579,-0.23126,-0.52799,7.4875
3.6174,-0.24283,-0.55648,7.486
3.6509,-0.25339,-0.58254,7.4835
3.8158,-0.30698,-0.71519,7.459
3.9579,-0.36208,-0.85328,7.4212
4.0287,-0.39384,-0.93408,7.3956
4.068,-0.41286,-0.98294,7.3793
4.0953,-0.42654,-1.0184,7.3672
4.1264,-0.44252,-1.06,7.3521
4.1535,-0.45678,-1.0972,7.3372
4.3086,-0.53727,-1.3102,7.2299
4.382,-0.57986,-1.4257,7.1592
4.4166,-0.601,-1.484,7.1207
4.4459,-0.61919,-1.5346,7.0856
4.4756,-0.63779,-1.5866,7.047
4.6303,-0.73006,-1.8498,6.8136
4.6838,-0.76446,-1.9514,6.7078
4.7051,-0.77847,-1.9934,6.6615
4.7383,-0.80004,-2.059,6.5855
4.7672,-0.81836,-2.1159,6.5146
4.9152,-0.89857,-2.3846,6.1124
5.0627,-0.9603,-2.6398,5.6064
5.1948,-0.98521,-2.8385,5.0536
5.3111,-0.96858,-2.9779,4.4931
5.4193,-0.90491,-3.069,3.926
5.5079,-0.8038,-3.1147,3.4436
5.5934,-0.6513,-3.1384,2.9838
5.6135,-0.60658,-3.1411,2.8787
0,-0.60032,0.79362,1.1521
0.048305,-0.67654,0.63822,1.245
0.082058,-0.70912,0.53318,1.3166
0.16626,-0.73035,0.2922,1.5263
0.22716,-0.70557,0.15185,1.703
0.27304,-0.67327,0.064407,1.8542
0.31269,-0.64006,0.00092101,1.9983
0.35954,-0.59766,-0.060207,2.1851
0.38824,-0.57082,-0.091144,2.3106
0.41676,-0.54433,-0.11732,2.4432
0.44179,-0.52171,-0.13712,2.5655
0.482,-0.48772,-0.16293,2.7707
0.57246,-0.42504,-0.19975,3.2622
0.65667,-0.38251,-0.21959,3.7658
0.73836,-0.35618,-0.23327,4.2802
0.77301,-0.34952,-0.23853,4.4977
0.85843,-0.34321,-0.25366,5.0227
0.90146,-0.34534,-0.26257,5.2659
1.003,-0.36332,-0.29118,5.8006
1.0754,-0.38577,-0.31699,6.1108
1.1545,-0.41841,-0.35132,6.3906
1.2279,-0.45567,-0.3885,6.5972
1.2851,-0.48886,-0.42078,6.7275
1.3511,-0.53209,-0.46263,6.8516
1.4219,-0.58335,-0.5123,6.953
1.4524,-0.60573,-0.53402,6.9864
1.5366,-0.67501,-0.60134,7.0579
1.6252,-0.75196,-0.67619,7.0972
1.7281,-0.84713,-0.76907,7.1104
1.7692,-0.88878,-0.80986,7.1079
1.7966,-0.91775,-0.83832,7.1037
1.8423,-0.96687,-0.88691,7.0914
1.8907,-1.0208,-0.94071,7.0715
2.0095,-1.1545,-1.0753,6.9941
2.1232,-1.2921,-1.2154,6.878
2.1912,-1.3809,-1.3071,6.7861
2.2283,-1.4315,-1.3598,6.728
2.2483,-1.4595,-1.389,6.6937
2.2668,-1.4855,-1.4162,6.66
2.316,-1.5532,-1.4878,6.5627
2.3579,-1.6107,-1.5498,6.4688
2.4072,-1.6767,-1.6231,6.3478
2.4446,-1.7261,-1.6791,6.2474
2.4768,-1.7678,-1.7273,6.1543
2.51,-1.8097,-1.7767,6.0528
2.5415,-1.8484,-1.8234,5.9509
2.5635,-1.8749,-1.8559,5.8758
2.5877,-1.9033,-1.8918,5.7893
2.6091,-1.9271,-1.9229,5.7103
2.6709,-1.9884,-2.0091,5.4713
2.8062,-2.0824,-2.177,4.9002
2.9267,-2.1081,-2.3089,4.3198
3.0389,-2.0623,-2.4185,3.7428
3.1483,-1.9354,-2.522,3.1769
3.2565,-1.7144,-2.6365,2.6362
3.2842,-1.6391,-2.6706,2.5041
3.3021,-1.5862,-2.6931,2.4207
3.3196,-1.5313,-2.7151,2.3409
3.3362,-1.4765,-2.7365,2.2667
3.4334,-1.0981,-2.8684,1.8729
3.4454,-1.0413,-2.8848,1.8266
3.5312,-0.59782,-2.9817,1.5296
3.558,-0.4315,-3.0029,1.4456
3.5873,-0.23801,-3.0175,1.358
0,0.66552,-0.34256,1.6979
0.031227,0.66094,-0.27484,1.7989
0.059014,0.65223,-0.21981,1.8947
0.16068,0.59924,-0.06714,2.2787
0.19114,0.57853,-0.031082,2.4176
0.22057,0.55809,-0.00063676,2.5601
0.26187,0.53004,0.034922,2.7713
0.29403,0.50908,0.057606,2.9467
0.32214,0.49182,0.074308,3.1078
0.40739,0.4494,0.11091,3.6105
0.43685,0.43785,0.12012,3.7957
0.51816,0.41588,0.14032,4.3101
0.55856,0.4103,0.14847,4.5646
0.64456,0.40986,0.16535,5.0896
0.73824,0.42697,0.18596,5.6142
0.8531,0.47223,0.21805,6.147
0.91952,0.5068,0.23938,6.3768
0.99402,0.55457,0.26727,6.5899
1.0608,0.60425,0.2954,6.7394
1.1483,0.67983,0.33801,6.8883
1.2428,0.7704,0.3891,6.9932
1.3468,0.87764,0.4498,7.059
1.4133,0.95093,0.49144,7.0817
1.4619,1.008,0.52395,7.0908
1.5017,1.0571,0.55211,7.0924
1.5594,1.1302,0.5943,7.084
1.6785,1.2852,0.68494,7.0334
1.7223,1.3487,0.72245,7.0031
1.7487,1.3886,0.74611,6.9818
1.8821,1.5858,0.86366,6.8464
1.9869,1.7535,0.96569,6.695
2.0364,1.8384,1.0184,6.607
2.0845,1.9204,1.0704,6.5092
2.1978,2.1001,1.1896,6.2384
2.318,2.2801,1.318,5.8797
2.3429,2.3177,1.3464,5.7918
2.3661,2.3514,1.3728,5.707
2.3896,2.3839,1.3992,5.6182
2.4399,2.4474,1.4545,5.4208
2.5723,2.5731,1.59,4.8609
2.6897,2.6259,1.7076,4.2934
2.7985,2.608,1.8211,3.7302
2.8125,2.6001,1.8364,3.6559
2.9165,2.4985,1.9657,3.1124
3.0195,2.3143,2.1291,2.6011
3.1218,2.0406,2.3366,2.1384
3.1356,1.9937,2.3693,2.0798
3.2328,1.6145,2.6046,1.7073
3.2441,1.5604,2.6333,1.666
3.2554,1.5035,2.6623,1.6257
3.2664,1.4463,2.6903,1.5874
3.2898,1.3182,2.7487,1.5087
3.311,1.1942,2.7995,1.4408
3.3241,1.1129,2.8297,1.4003
3.3328,1.0566,2.849,1.3739
3.3567,0.89878,2.8976,1.3052
3.426,0.40371,2.9959,1.1263
3.4476,0.23204,3.0111,1.0744
3.5049,-0.24556,2.9993,0.95472
3.5463,-0.6148,2.9354,0.87905
0,1.8277,0.73383,0.2495
0.025246,1.7101,0.94141,0.25227
0.084071,1.3486,1.3546,0.2588
0.11279,1.138,1.511,0.26222
0.13919,0.92961,1.6265,0.26557
0.19319,0.47173,1.7738,0.27306
0.24685,0.0047587,1.7969,0.28139
0.30176,-0.45193,1.6971,0.29074
0.35187,-0.82291,1.5083,0.29998
0.38579,-1.0382,1.3358,0.30663
0.44936,-1.3487,0.9358,0.31951
0.49027,-1.4728,0.64546,0.32848
0.52947,-1.5342,0.35604,0.33763
0.59865,-1.5063,-0.1516,0.35556
0.67165,-1.3072,-0.62462,0.37645
0.74933,-0.9487,-0.99956,0.40159
0.78816,-0.73549,-1.1231,0.41541
0.82448,-0.52515,-1.1989,0.42903
0.86141,-0.30743,-1.2363,0.44383
0.90456,-0.057134,-1.2311,0.46219
0.94228,0.14902,-1.1862,0.47929
0.97754,0.32549,-1.1139,0.49606
1.0078,0.46087,-1.0319,0.51121
1.0378,0.57894,-0.93487,0.52688
1.072,0.69207,-0.80919,0.54546
1.1176,0.80471,-0.62456,0.57199
1.1498,0.85731,-0.48879,0.59243
1.1888,0.8923,-0.32313,0.61928
1.2438,0.89106,-0.095991,0.66198
1.2801,0.86129,0.040964,0.6933
1.3172,0.81095,0.16757,0.72806
1.4043,0.62807,0.40437,0.82561
1.4548,0.50187,0.4903,0.89135
1.5165,0.34161,0.54889,0.98426
1.5867,0.17122,0.56,1.107
1.6229,0.094351,0.54754,1.1777
1.6555,0.031998,0.52871,1.2473
1.708,-0.053194,0.48756,1.3713
1.7579,-0.1169,0.44082,1.5034
1.8521,-0.1938,0.34923,1.7871
1.9553,-0.23311,0.2582,2.1646
1.987,-0.23873,0.23253,2.3053
2.0284,-0.24236,0.20246,2.5021
2.125,-0.24127,0.14894,2.9953
2.2104,-0.23562,0.11543,3.4992
2.2407,-0.23358,0.10641,3.6908
2.3201,-0.23029,0.088658,4.2051
2.3732,-0.23041,0.080937,4.5488
2.4564,-0.23566,0.073511,5.0735
2.5466,-0.24936,0.070562,5.598
2.6192,-0.26612,0.071138,5.9532
2.6975,-0.29032,0.0738,6.2803
2.7838,-0.32428,0.078847,6.5706
2.8719,-0.36725,0.086116,6.8021
2.9764,-0.42995,0.096966,7.0071
3.0297,-0.46343,0.10278,7.08
3.0829,-0.4995,0.10904,7.1406
3.1212,-0.52673,0.11375,7.1771
3.158,-0.55443,0.11854,7.2075
3.2571,-0.6378,0.13292,7.2679
3.3668,-0.7372,0.14988,7.3016
3.4928,-0.86265,0.17083,7.311
3.6412,-1.0304,0.19783,7.2926
3.6695,-1.0682,0.20375,7.2851
3.694,-1.1019,0.20901,7.277
3.8316,-1.2912,0.2379,7.2111
3.9785,-1.5177,0.27062,7.0985
4.021,-1.5929,0.28093,7.0549
0,-1.1637,1.0792,0.85669
0.025498,-1.2305,0.93623,0.87886
0.050184,-1.2789,0.79579,0.90206
0.073141,-1.3099,0.66561,0.92491
0.16467,-1.3062,0.15509,1.0372
0.18858,-1.2765,0.041941,1.0701
0.21305,-1.2362,-0.066103,1.1063
0.24,-1.1823,-0.17525,1.1488
0.27134,-1.1097,-0.28862,1.2023
0.29799,-1.0416,-0.37277,1.2515
0.32592,-0.96553,-0.44931,1.3074
0.36533,-0.85367,-0.53682,1.394
0.42686,-0.67814,-0.62862,1.5483
0.47217,-0.55699,-0.66495,1.6768
0.50402,-0.47741,-0.67772,1.7763
0.53823,-0.39792,-0.68239,1.892
0.63785,-0.2149,-0.65919,2.2646
0.65882,-0.18288,-0.64926,2.3569
0.68021,-0.1528,-0.63818,2.4553
0.77828,-0.050572,-0.58566,2.9285
0.80489,-0.02915,-0.57085,3.0775
0.88951,0.021838,-0.53076,3.5692
0.92149,0.036147,-0.5184,3.7693
1.0026,0.06407,-0.49712,4.2828
1.0348,0.072479,-0.49283,4.4852
1.1197,0.091856,-0.4931,5.0096
1.1594,0.099599,-0.4989,5.2344
1.2598,0.12048,-0.53053,5.7684
1.311,0.13113,-0.55422,5.9908
1.3837,0.14828,-0.59743,6.2672
1.4641,0.16976,-0.65708,6.5107
1.521,0.18602,-0.70478,6.6431
1.6101,0.21591,-0.79429,6.809
1.7048,0.25106,-0.8998,6.9232
1.763,0.27357,-0.96726,6.9681
1.8029,0.28971,-1.0155,6.991
1.8238,0.29848,-1.0417,7.0008
1.8433,0.30687,-1.0667,7.0083
1.9404,0.35047,-1.1954,7.0224
2.0655,0.41082,-1.3703,6.9938
2.1135,0.43704,-1.4451,6.9695
2.1496,0.45781,-1.504,6.9464
2.2094,0.49325,-1.6032,6.8991
2.2608,0.52513,-1.6911,6.8459
2.3784,0.59925,-1.891,6.6892
2.4143,0.62453,-1.9578,6.6267
2.4418,0.64453,-2.01,6.5741
2.4774,0.67074,-2.0769,6.5008
2.5087,0.69409,-2.1351,6.4308
2.6422,0.79135,-2.3629,6.0952
2.6852,0.82547,-2.4374,5.9621
2.8345,0.94188,-2.6622,5.4513
2.9682,1.0515,-2.8163,4.8971
3.0904,1.1599,-2.8965,4.3212
3.2026,1.2769,-2.9027,3.7507
3.2477,1.3318,-2.8835,3.5144
3.3536,1.4916,-2.7857,2.9719
3.3987,1.5762,-2.7195,2.751
3.426,1.6335,-2.6724,2.6221
3.5316,1.8906,-2.4373,2.1549
3.6305,2.1874,-2.1191,1.7774
3.6353,2.2032,-2.1002,1.7595
0,0.82329,0.8105,0.49357
0.036584,0.65818,0.90515,0.51162
